"","Date","Time","lat","lng","Wind","Pressure","Storm Type","Category","Category_chr","Name"
"28","Sep 05","03:00 GMT",16.7,-55.6,"140 mph","943 mb","Hurricane","4","Four","Irma"
"29","Sep 05","06:00 GMT",16.6,-56.4,"145 mph","939 mb","Hurricane","4","Four","Irma"
"30","Sep 05","09:00 GMT",16.6,-57,"150 mph","937 mb","Hurricane","4","Four","Irma"
"31","Sep 05","11:45 GMT",16.7,-57.7,"175 mph","929 mb","Hurricane","5","Five","Irma"
"32","Sep 05","12:00 GMT",16.7,-57.7,"175 mph","929 mb","Hurricane","5","Five","Irma"
"33","Sep 05","15:00 GMT",16.8,-58.4,"180 mph","931 mb","Hurricane","5","Five","Irma"
"34","Sep 05","18:00 GMT",16.9,-59.1,"185 mph","926 mb","Hurricane","5","Five","Irma"
"35","Sep 05","21:00 GMT",17.1,-59.8,"185 mph","926 mb","Hurricane","5","Five","Irma"
"36","Sep 06","00:00 GMT",17.2,-60.5,"185 mph","916 mb","Hurricane","5","Five","Irma"
"37","Sep 06","00:15 GMT",17.2,-60.5,"185 mph","916 mb","Hurricane","5","Five","Irma"
"38","Sep 06","03:00 GMT",17.4,-61.1,"185 mph","916 mb","Hurricane","5","Five","Irma"
"39","Sep 06","06:00 GMT",17.7,-61.8,"185 mph","914 mb","Hurricane","5","Five","Irma"
"40","Sep 06","09:00 GMT",17.9,-62.6,"185 mph","914 mb","Hurricane","5","Five","Irma"
"41","Sep 06","12:00 GMT",18.1,-63.3,"185 mph","918 mb","Hurricane","5","Five","Irma"
"42","Sep 06","15:00 GMT",18.2,-64,"185 mph","918 mb","Hurricane","5","Five","Irma"
"43","Sep 06","16:00 GMT",18.3,-64.2,"185 mph","922 mb","Hurricane","5","Five","Irma"
"44","Sep 06","17:00 GMT",18.4,-64.5,"185 mph","920 mb","Hurricane","5","Five","Irma"
"45","Sep 06","18:00 GMT",18.5,-64.7,"185 mph","920 mb","Hurricane","5","Five","Irma"
"46","Sep 06","19:00 GMT",18.6,-64.9,"185 mph","920 mb","Hurricane","5","Five","Irma"
"47","Sep 06","20:00 GMT",18.7,-65.1,"185 mph","920 mb","Hurricane","5","Five","Irma"
"48","Sep 06","21:00 GMT",18.8,-65.4,"185 mph","914 mb","Hurricane","5","Five","Irma"
"49","Sep 06","22:00 GMT",18.9,-65.6,"185 mph","914 mb","Hurricane","5","Five","Irma"
"50","Sep 06","23:00 GMT",19,-65.8,"185 mph","914 mb","Hurricane","5","Five","Irma"
"51","Sep 07","00:00 GMT",19.1,-66.1,"185 mph","914 mb","Hurricane","5","Five","Irma"
